Symbol,Price,Date
T,25.68000030517578,2026-09-07
BCE.TO,32.790000915527344,2026-09-07
GSY,50.13999938964844,2026-09-07
SLF.TO,112.08999633789062,2026-09-07
UMAX,9.999999747378752e-05,2026-09-07
ENB.TO,69.31999969482422,2026-09-07
BAM.TO,70.0,2026-09-07
TRI,105.68000030517578,2026-09-07
PPL,35.11000061035156,2026-09-07
MFC.TO,61.34000015258789,2026-09-07
BAM,50.599998474121094,2026-09-07
LIF,44.16999816894531,2026-09-07
ARX,19.8799991607666,2026-09-07
CNQ.TO,69.77999877929688,2026-09-07
RY.TO,291.4800109863281,2026-09-07
FSZ,81.06999969482422,2026-09-07
EMAX,0.0003000000142492354,2026-09-07
MSTY,16.059999465942383,2026-09-07
IBM,234.88999938964844,2026-09-07
KEY,22.18000030517578,2026-09-07
MFI,9.59000015258789,2026-09-07
WFG.TO,95.08000183105469,2026-09-07
GDL,8.420000076293945,2026-09-07
GDV,29.979999542236328,2026-09-07
CONY,20.68000030517578,2026-09-07
BNS.TO,129.64999389648438,2026-09-07
AQN.TO,7.849999904632568,2026-09-07
FC,19.020000457763672,2026-09-07
FTS.TO,76.47000122070312,2026-09-07
PZA,22.420000076293945,2026-09-07
MG,19.1200008392334,2026-09-07
PRN,200.35000610351562,2026-09-07
TRP.TO,86.52999877929688,2026-09-07
GTY,32.529998779296875,2026-09-07
ET,21.5,2026-09-07
CIA,3.950000047683716,2026-09-07
CCOM,23.8700008392334,2026-09-07
CRE,2.8299999237060547,2026-09-07
HUN,9.619999885559082,2026-09-07
WEED,22.672000885009766,2026-09-07
TAL,12.399999618530273,2026-09-07
SOBO.TO,51.29999923706055,2026-09-07
TLRY,4.5,2026-09-07
WM,218.99000549316406,2026-09-07
USA,5.96999979019165,2026-09-07
